ProbeID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene
17044177,1.424414519,7.860019279,10.9626177,2.74E-05,0.007029718,3.322743699,IL6
16667702,1.039834534,6.828237006,10.89304038,2.85E-05,0.007231054,3.286077054,VCAM1
17114701,1.276008901,9.121567432,10.60475441,3.34E-05,0.0080924,3.131111987,CDR1
17050765,1.245331075,8.252932738,10.33017583,3.89E-05,0.00858088,2.978812946,KCND2
16716501,1.007965967,7.710436008,10.31705911,3.92E-05,0.00858088,2.971419377,HECTD2-AS1
16707180,1.17566835,6.307754091,10.17177993,4.27E-05,0.008947667,2.888792393,IFIT2
17088442,1.124471352,6.269099054,10.15371966,4.31E-05,0.00899414,2.87842538,LOC105376235
17055786,1.266606181,7.176902291,10.0559836,4.56E-05,0.009171359,2.821952067,IL6-AS1
17025267,1.168583648,6.935642785,9.801634062,5.31E-05,0.009651277,2.671996188,SOD2
16909524,1.314545992,6.793362267,9.704286626,5.63E-05,0.010121146,2.61343368,SNORD82
16969051,1.190863847,6.045423934,9.593327824,6.02E-05,0.01040755,2.545873769,BMPR1B
17013090,1.259658719,5.533575128,9.185441506,7.76E-05,0.011862878,2.289868014,LOC100507477
16721585,1.891205994,6.538351798,8.861580388,9.56E-05,0.012808701,2.077631431,OLFML1
17048072,1.261267054,4.403125616,8.102902657,0.000160099,0.016831389,1.546718351,STEAP1
16995989,1.256149126,6.089851739,7.925490211,0.00018171,0.018244811,1.415254469,FGF10
16743647,1.341686273,6.491273305,7.559574313,0.000237765,0.021147959,1.134691759,MMP7
16876764,1.271658984,7.023855714,7.164998792,0.000321687,0.024122923,0.817161003,RSAD2
16730522,1.2155482,7.88743561,6.448399551,0.000577518,0.033915409,0.197185256,BIRC3
16722544,1.044614401,4.441144137,6.330520119,0.000638957,0.035948512,0.089467241,MRGPRX3
17122142,1.160452432,5.17104368,5.837188055,0.000991398,0.045715724,-0.380247182,CD177
17046998,-1.429718071,8.672779972,-29.51315377,6.64E-08,0.000508744,7.898552702,ELN
17005589,-1.322789014,7.845957269,-25.60792374,1.59E-07,0.000927424,7.425678999,H2AC8
17016369,-1.715427077,10.03420544,-22.51581863,3.51E-07,0.001155998,6.936782601,H2BC3
16870443,-1.624790095,9.864621522,-21.03956426,5.31E-07,0.001377077,6.656649406,CRLF1
16813026,-1.019388755,6.91546531,-19.51437234,8.42E-07,0.001640804,6.328321498,LOC105370960
17005865,-1.700221596,11.7647876,-19.01350184,9.87E-07,0.001654347,6.210753079,H2BC14
16804506,-1.063853873,7.100196892,-16.09581751,2.72E-06,0.002420666,5.410809078,ACAN
16835592,-1.078107534,9.90595289,-15.89480488,2.94E-06,0.002420666,5.347403758,NGFR
16997802,-1.123018024,9.01422319,-15.8215767,3.02E-06,0.002420666,5.324005566,HAPLN1
16682402,-1.215917648,11.02467844,-15.67868442,3.19E-06,0.002420666,5.277879127,PADI2
16792954,-1.232231047,10.94481783,-15.27159813,3.75E-06,0.002643256,5.142983418,NID2
16677071,-1.215014697,8.970564829,-14.16790353,5.90E-06,0.003067461,4.749454995,SERTAD4
16698174,-1.055135203,10.30483237,-13.31925139,8.56E-06,0.003758345,4.416356227,MYBPH
17120106,-1.06122069,8.025731527,-11.75687235,1.81E-05,0.005734064,3.722192511,PSAT1
16871915,-1.112289784,8.148204716,-10.55472646,3.43E-05,0.00821946,3.103710865,PPP1R14A
16804062,-1.134754532,6.431181194,-10.30489304,3.95E-05,0.00858088,2.964551886,TM6SF1
16849697,-1.033755158,7.597615592,-7.897646628,0.000185397,0.018442359,1.394356669,NPTX1
17117463,-1.200729779,5.016166828,-6.612850375,0.000502737,0.031234385,0.34467018,PLXDC2
17016509,-1.138586819,6.526462485,-6.07596103,0.000798842,0.040637082,-0.149016658,H3C12
